TIMESTAMP,WS,WD,Sigma,Gust,T2_Avg,T10_Avg,DeltaT_Avg,Tach2_Avg,Tach10_Avg,EETemp_Avg,RH_Avg,SR_Avg,Press_Avg,Precip_Tot,Pan_2min,EvapHr,Fill_Secs_Max,Batt_Min,NoScansH
2024-11-23,2.17,163.6,16.79,3.69,14.67,17.27,2.6,182.8,152.9,15.36,14.73,-3.26,843.79,0.0,7.14,0.0,0.0,13.68,3600.0
2024-11-24,2.44,192.48,27.22,5.81,16.68,17.67,0.99,182.14,153.28,17.0,17.67,184.26,842.32,0.0,168.99,0.01,0.0,13.56,86400.0
2024-11-25,3.06,219.28,29.34,7.16,15.36,15.67,0.31,182.42,153.52,15.61,15.29,160.22,842.87,0.0,163.75,0.01,0.0,13.6,86400.0
2024-11-26,2.15,204.59,19.79,4.46,14.7,15.5,0.8,182.01,152.51,14.97,26.09,130.0,846.46,0.0,159.7,0.01,0.0,13.6,86400.0
2024-11-27,2.28,231.69,19.96,5.01,15.43,16.58,1.15,181.95,152.42,15.7,35.38,157.32,845.8,0.0,156.67,0.01,0.0,13.56,86400.0
2024-11-28,3.17,241.1,17.4,6.82,16.35,16.38,0.03,182.11,152.47,16.6,33.98,75.82,842.47,0.0,152.72,0.01,0.0,13.55,86400.0
2024-11-29,2.18,234.54,23.68,4.94,12.89,13.41,0.52,182.76,153.17,13.14,44.23,136.46,842.43,0.0,150.5,0.01,0.0,13.64,86399.0
2024-11-30,2.01,181.86,18.37,3.9,11.7,12.64,0.94,183.21,153.6,11.94,47.2,117.96,843.22,0.0,147.21,0.0,0.0,13.7,86400.0
2024-12-01,2.28,195.63,15.07,4.2,13.33,14.5,1.17,182.8,152.98,13.62,33.75,129.55,844.6,0.0,145.15,0.0,0.0,13.64,86400.0
2024-12-02,1.98,205.41,19.46,4.09,14.38,16.12,1.74,182.59,152.76,14.7,28.57,170.52,845.25,0.0,142.47,0.0,0.0,13.59,86400.0
2024-12-03,2.99,164.9,13.52,5.15,14.1,15.65,1.55,182.78,153.02,14.41,26.94,172.38,845.29,0.0,139.13,0.01,0.0,13.61,86400.0
2024-12-04,2.99,194.84,20.25,6.26,13.6,14.38,0.78,182.86,153.5,13.89,25.71,172.7,845.12,0.0,134.22,0.01,0.0,13.65,86399.0
2024-12-05,2.17,208.66,16.79,4.15,10.94,12.6,1.66,183.43,153.52,11.24,30.72,170.02,844.65,0.0,129.9,0.01,0.0,13.72,86400.0
2024-12-06,2.11,164.53,19.71,4.46,10.88,12.11,1.23,183.63,153.87,11.12,34.15,156.8,843.29,0.0,125.96,0.0,0.0,13.72,86400.0
2024-12-07,2.57,131.39,20.8,5.29,9.09,9.58,0.49,184.29,154.9,9.27,58.28,136.27,842.92,0.0,123.36,0.0,0.0,13.77,86400.0
2024-12-08,1.95,184.37,21.29,4.01,8.28,9.38,1.1,184.45,154.82,8.52,59.05,142.67,843.8,0.0,121.87,0.0,0.0,13.82,86400.0
2024-12-09,2.59,215.59,23.65,5.9,10.21,11.29,1.08,184.2,154.41,10.47,37.36,170.58,843.68,0.0,119.99,0.0,0.0,13.77,86400.0
2024-12-10,2.69,249.52,28.43,7.24,11.48,11.55,0.06,183.75,154.23,11.73,26.45,169.49,843.17,0.0,117.35,0.01,0.0,13.73,86400.0
2024-12-11,3.55,108.67,22.63,7.99,6.38,6.41,0.03,184.9,156.72,6.56,18.49,177.27,847.15,0.0,114.09,0.0,0.0,13.92,86400.0
2024-12-12,3.0,125.61,15.11,5.93,8.56,9.12,0.56,184.2,154.89,8.83,10.11,160.28,845.51,0.0,111.69,0.01,0.0,13.84,86400.0
2024-12-13,3.62,178.62,21.0,8.22,11.39,11.99,0.59,184.04,155.49,11.66,9.75,140.0,841.8,0.0,107.91,0.01,0.0,13.74,86400.0
2024-12-14,3.84,221.9,17.9,8.49,10.63,11.15,0.52,184.06,155.03,10.9,17.12,154.89,843.69,0.0,103.61,0.01,0.0,13.76,86400.0
2024-12-15,2.35,197.7,19.77,4.42,10.72,12.53,1.81,183.62,153.82,11.03,21.12,164.67,845.6,0.0,100.53,0.0,0.0,13.74,86400.0
2024-12-16,2.23,207.74,25.2,4.85,12.03,13.8,1.77,183.25,153.6,12.36,19.04,166.54,844.13,0.0,97.31,0.01,0.0,13.68,86400.0
2024-12-17,2.99,189.19,12.37,5.23,11.5,13.85,2.34,183.64,153.78,11.86,18.95,123.64,844.76,0.0,85.94,0.01,0.0,13.72,75801.0
2024-12-18,2.2,209.02,17.38,4.04,12.75,15.08,2.33,182.91,153.24,13.13,17.43,146.86,844.76,0.0,90.55,0.01,0.0,13.66,83313.0
2024-12-19,3.47,164.93,12.2,6.31,13.12,14.79,1.67,182.77,153.32,13.48,18.51,166.26,847.14,0.0,87.21,0.01,0.0,13.64,86400.0
2024-12-20,2.66,178.86,13.31,4.37,12.49,14.73,2.24,182.73,153.23,12.87,21.58,164.51,847.07,0.0,84.05,0.01,0.0,13.66,86400.0
2024-12-21,2.52,192.03,17.81,4.22,13.6,15.99,2.39,182.48,152.63,14.01,17.55,166.54,848.05,0.0,80.76,0.0,0.0,13.63,86400.0
2024-12-22,2.15,192.91,15.48,4.06,15.0,17.56,2.56,182.05,152.37,15.39,10.92,175.33,846.82,0.0,74.55,0.0,0.0,13.57,80395.0
2024-12-23,2.66,226.23,18.07,5.47,15.32,17.34,2.02,182.36,152.75,15.66,9.23,145.87,845.03,0.0,70.51,0.0,0.0,13.59,82687.0
2024-12-24,1.92,225.48,24.49,4.03,12.92,14.1,1.19,182.9,153.58,13.25,11.88,-1.48,843.99,0.0,14.82,0.0,0.0,13.7,18000.0
